1615446154;1.7;2021-03-11 08:02:34
1615446778;1.8;2021-03-11 08:12:58
1615447402;2.1;2021-03-11 08:23:22
1615448314;2.1;2021-03-11 08:38:34
1615448986;2.2;2021-03-11 08:49:46
1615449658;2.3;2021-03-11 09:00:58
1615450426;2.3;2021-03-11 09:13:46
1615451050;2.3;2021-03-11 09:24:10
1615451962;2.5;2021-03-11 09:39:22
1615452682;2.6;2021-03-11 09:51:22
1615453306;2.7;2021-03-11 10:01:46
1615454746;2.7;2021-03-11 10:25:46
1615455850;2.8;2021-03-11 10:44:10
1615456666;2.9;2021-03-11 10:57:46
1615457914;2.4;2021-03-11 11:18:34
1615460746;1.9;2021-03-11 12:05:46
1615461706;2.2;2021-03-11 12:21:46
1615462714;2.2;2021-03-11 12:38:34
1615463386;2.2;2021-03-11 12:49:46
1615464154;2.2;2021-03-11 13:02:34
1615464826;2.2;2021-03-11 13:13:46
1615468714;2.3;2021-03-11 14:18:34
1615474954;1.9;2021-03-11 16:02:34
1615479466;2;2021-03-11 17:17:46
1615480330;1.9;2021-03-11 17:32:10
1615481098;1.9;2021-03-11 17:44:58
1615481914;2;2021-03-11 17:58:34
1615488826;2.2;2021-03-11 19:53:46
1615525690;4.7;2021-03-12 06:08:10
1615527178;4.8;2021-03-12 06:32:58
1615527850;4.8;2021-03-12 06:44:10
1615528522;4.9;2021-03-12 06:55:22
1615529194;4.9;2021-03-12 07:06:34
1615529962;4.8;2021-03-12 07:19:22
1615530778;5.1;2021-03-12 07:32:58
1615531498;5.2;2021-03-12 07:44:58
1615532170;5.4;2021-03-12 07:56:10
1615533130;5.4;2021-03-12 08:12:10
1615534090;5.5;2021-03-12 08:28:10
1615535050;5.9;2021-03-12 08:44:10
1615535722;5.9;2021-03-12 08:55:22
1615536586;6.3;2021-03-12 09:09:46
1615537498;6.4;2021-03-12 09:24:58
1615538122;6.4;2021-03-12 09:35:22
1615538937;6.5;2021-03-12 09:48:57
1615539658;6.7;2021-03-12 10:00:58
1615540378;6.8;2021-03-12 10:12:58
1615541001;6.9;2021-03-12 10:23:21
